Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources,
Germany,"Leipzig, Germany",4/9/45,4/16/45,700,790,,745.0,1,1,1,air-firebomb,RAF/USAAF,,http://de.wikipedia.org/wiki/Operation_Haddock,
Germany,"Gottingen, Germany",4/6/45,4/6/45,30,30,,30.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_G%C3%B6ttingen,
Germany,"Leipzig, Germany",4/5/45,4/5/45,733,733,,733.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Operation_Haddock,
Germany,"Ingolstadt, Germany",4/4/45,4/4/45,52,52,,52.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Nuremberg, Germany",4/4/45,4/4/45,197,197,,197.0,1,1,1,air-firebomb,USAAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Hameln, Germany",3/27/45,3/27/45,110,110,,110.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Hameln,
Germany,"Paderborn, Germany",3/26/45,3/26/45,900,900,,900.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Paderborn,
Germany,"Wesel, Germany",3/22/45,3/22/45,36,36,,36.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Wesel,
Germany,"Hildesheim, Germany",3/21/45,3/21/45,"1,5","1,5",,1500.0,1,1,1,air-firebomb,RAF/RCAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Hildesheim,
Germany,"Bremen, Germany",3/21/45,3/29/45,147,147,,147.0,1,1,1,air-firebomb,USAAF,,,
Germany,"Hanau, Germany",3/18/45,3/18/45,"2,3","2,5",,2400.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriff_auf_Hanau_am_19._M%C3%A4rz_1945#Sch.C3.A4den_und_Opfer,
Germany,"Nuremberg, Germany",3/16/45,3/16/45,517,517,,517.0,1,1,1,air-firebomb,RAF,,http://de.wikipedia.org/wiki/Luftangriffe_auf_N%C3%BCrnberg,
Germany,"Hameln, Germany",3/14/45,3/14/45,177,177,,177.0,1,1,1,air-firebomb,,,http://de.wikipedia.org/wiki/Luftangriffe_auf_Hameln,
Germany,"Wuppertal, Germany",3/13/45,3/13/45,500,500,,500.0,1,1,1,air-firebomb,,,,
Germany,"Vienna, Germany",3/12/45,3/26/45,"1,547","1,547",,1547.0,1,1,1,air-firebomb,,,http://www.wien-vienna.at/geschichte.php?ID=158,
